From Point,To Point,Distance (km),Fare (BDT)
Kalabagan,Borongail,69.8,171
Kalabagan,Utholi,76.4,187
Kalabagan,Paturia,84,206
Shyamoli,Shyamoli,0,0
Shyamoli,Gabtoli,2.7,10
Shyamoli,Savar,16.7,41
Shyamoli,Nabinagar,25.2,62
Shyamoli,Islampur,28.3,69
Shyamoli,Kalampur,35.8,88
Shyamoli,Manikganj,53.7,132
Shyamoli,Baniajuri,60.8,149
Shyamoli,Borongail,66.8,164
Shyamoli,Utholi,73.4,180
Shyamoli,Paturia,81,198
Gabtoli,Gabtoli,0,0
Gabtoli,Savar,14,34
Gabtoli,Nabinagar,22.5,55
Gabtoli,Islampur,25.6,63
Gabtoli,Kalampur,33.1,81
Gabtoli,Manikganj,51,125
Gabtoli,Baniajuri,58.1,142
Gabtoli,Borongail,64.1,157
Gabtoli,Utholi,70.7,173
Gabtoli,Paturia,78.3,192
Savar,Savar,0,0
Savar,Nabinagar,8.5,21
Savar,Islampur,11.6,28
Savar,Kalampur,19.1,47
Savar,Manikganj,37,91
Savar,Baniajuri,44.1,108
Savar,Borongail,50.1,123
Savar,Utholi,56.7,139
Savar,Paturia,64.3,158
Nabinagar,Nabinagar,0,0
Nabinagar,Islampur,3.1,10
Nabinagar,Kalampur,10.6,26
Nabinagar,Manikganj,28.5,70
Nabinagar,Baniajuri,35.6,87
Nabinagar,Borongail,41.6,102
Nabinagar,Utholi,48.2,118
Nabinagar,Paturia,55.8,137
Islampur,Islampur,0,0
Islampur,Kalampur,7.5,18
Islampur,Manikganj,25.4,62
Islampur,Baniajuri,32.5,80
Islampur,Borongail,38.5,94
Islampur,Utholi,45.1,110
Islampur,Paturia,52.7,129
Kalampur,Kalampur,0,0
Kalampur,Manikganj,17.9,44
Kalampur,Baniajuri,25,61
Kalampur,Borongail,31,76
Kalampur,Utholi,37.6,92
Kalampur,Paturia,45.2,111
Manikganj,Manikganj,0,0
Manikganj,Baniajuri,7.1,17
Manikganj,Borongail,13.1,32
Manikganj,Utholi,19.7,48
Manikganj,Paturia,27.3,67
Baniajuri,Baniajuri,0,0
Baniajuri,Borongail,6,15
Baniajuri,Utholi,12.6,31
Baniajuri,Paturia,20.2,49
Borongail,Borongail,0,0
Borongail,Utholi,6.6,16
Borongail,Paturia,14.2,35
Utholi,Utholi,0,0
Utholi,Paturia,7.6,19
Paturia,Paturia,0,0
Savar,Savar,0,0
Savar,Hemayetpur,7,17
Savar,Gabtoli,14.2,35
Savar,Shyamoli,16.7,41
Savar,Asadgate,18.6,46
Savar,Farmgate,20.6,50
Savar,Bangla Motor,21.9,54
Savar,Shahbag,22.7,56
Savar,Motsyabhaban,23.7,58
Savar,Press Club,24.3,60
Savar,Paltan,24.7,61
Savar,Gulistan,25.4,62
Savar,Shanir Akhra,30.4,74
Savar,Saynabord,34,83
